fips,year,s02
6025,1997,2.1336474
6025,2002,1.4078902
6025,2007,1.4279983
6025,2012,.60934252
6027,1997,1.4846964
6027,2002,1.2327574
6027,2007,.96296704
6027,2012,.69189656
6029,1997,1.0200062
6029,2002,1.4247292
6029,2007,.86968935
6029,2012,.77252328
6031,1997,1.156269
6031,2002,1.466561
6031,2007,.87775123
6031,2012,.80353153
6033,1997,1.8967303
6033,2002,1.554803
6033,2007,1.1555839
6033,2012,.71631587
6035,1997,1.9750094
6035,2002,1.6323323
6035,2007,1.0855989
6035,2012,.48230276
6037,1997,1.5801407
6037,2002,2.2101245
6037,2007,1.0927875
6037,2012,.61365306
6039,1997,1.2533578
6039,2002,1.4392592
6039,2007,.8804003
6039,2012,.76869887
6041,1997,1.9531162
6041,2002,1.5001446
6041,2007,1.2321775
6041,2012,.90850979
6043,1997,1.7545184
6043,2002,1.6429943
6043,2007,1.0550256
6043,2012,.75438744
6045,1997,1.8800812
6045,2002,1.5540282
6045,2007,1.1280392
6045,2012,.64391285
6047,1997,1.3869271
6047,2002,1.5077642
6047,2007,.97449589
6047,2012,.77765912
6049,1997,.83798105
6049,2002,1.499625
6049,2007,.5227077
6049,2012,.079886295
6051,1997,1.7515129
6051,2002,1.5367321
6051,2007,1.0985991
6051,2012,.72482049
6053,1997,1.2454364
6053,2002,1.4741545
6053,2007,.93337965
6053,2012,.80985653
6055,1997,1.9889463
6055,2002,1.570177
6055,2007,1.2273098
6055,2012,.81584024
6057,1997,1.8060081
6057,2002,1.5275106
6057,2007,1.0879872
6057,2012,.71295184
6059,1997,1.1563967
6059,2002,1.7628847
6059,2007,1.1129045
6059,2012,.389644
6061,1997,1.784283
6061,2002,1.5055964
6061,2007,1.0512365
6061,2012,.72065818
6063,1997,1.9153379
6063,2002,1.5627546
6063,2007,1.0990844
6063,2012,.62540251
6065,1997,1.3735771
6065,2002,1.5973557
6065,2007,1.3932624
6065,2012,.6346001
6067,1997,1.9294782
6067,2002,1.26845
6067,2007,.91663659
6067,2012,.6570074
6069,1997,1.2989922
6069,2002,1.4873469
6069,2007,.96420377
6069,2012,.79801196
6071,1997,1.2298059
6071,2002,1.3738782
6071,2007,1.1581938
6071,2012,.78043175
6073,1997,2.2294939
6073,2002,2.5844703
6073,2007,2.1395648
6073,2012,.51127791
6075,1997,1.6791862
6075,2002,1.6855812
6075,2007,1.1412675
6075,2012,.85252553
6077,1997,1.8786957
6077,2002,1.6643935
6077,2007,1.1789584
6077,2012,.74103409
6079,1997,1.1069582
6079,2002,1.6109289
6079,2007,.65547615
6079,2012,.7546584
6081,1997,1.8165309
6081,2002,1.5839498
6081,2007,1.1920693
6081,2012,.79372084
6083,1997,.53909141
6083,2002,.98711294
6083,2007,.45591453
6083,2012,.96018761
6085,1997,1.7261869
6085,2002,1.5963594
6085,2007,1.1613101
6085,2012,.60003275
6087,1997,1.4268073
6087,2002,1.4975966
6087,2007,1.1049685
6087,2012,.78089803
6089,1997,1.9759021
6089,2002,1.5408493
6089,2007,1.0826923
6089,2012,.56070375
6091,1997,1.8152846
6091,2002,1.5395997
6091,2007,1.1088171
6091,2012,.68364704
6093,2007,.43343869
6093,2012,-.13533109
6095,1997,2.0040476
6095,2002,1.6329794
6095,2007,1.2712833
6095,2012,.82258683
6097,1997,1.9314251
6097,2002,1.5543642
6097,2007,1.196798
6097,2012,.79047966
6099,1997,1.8517098
6099,2002,1.6863658
6099,2007,1.1517009
6099,2012,.72446978
6101,1997,1.8048545
6101,2002,1.5181954
6101,2007,1.0615326
6101,2012,.69370234
6103,1997,1.9299471
6103,2002,1.5672807
6103,2007,1.0959586
6103,2012,.61212504
6105,1997,1.9856664
6105,2002,1.5427544
6105,2007,1.0272551
6105,2012,.43144706
6107,1997,1.0060545
6107,2002,1.4477302
6107,2007,.81350583
6107,2012,.73389208
6109,1997,1.7861221
6109,2002,1.545228
6109,2007,1.1255474
6109,2012,.73562402
6111,1997,1.3491805
6111,2002,1.1100506
6111,2007,.98057872
6111,2012,.76000339
6113,1997,1.8549939
6113,2002,1.5311261
